NAME,CYLINDERS,DISPLACEMENT,HORSEPOWER,WEIGHT,ACCELERATION,MPG
chevrolet chevelle malibu,8,307,130,3504,12,18
buick skylark 320,8,350,165,3693,11.5,15
plymouth satellite,8,318,150,3436,11,18
amc rebel sst,8,304,150,3433,12,16
ford torino,8,302,140,3449,10.5,17
ford galaxie 500,8,429,198,4341,10,15
chevrolet impala,8,454,220,4354,9,14
plymouth fury iii,8,440,215,4312,8.5,14
pontiac catalina,8,455,225,4425,10,14
amc ambassador dpl,8,390,190,3850,8.5,15
dodge challenger se,8,383,170,3563,10,15
plymouth 'cuda 340,8,340,160,3609,8,14
chevrolet monte carlo,8,400,150,3761,9.5,15
buick estate wagon (sw),8,455,225,3086,10,14
toyota corona mark ii,4,113,95,2372,15,24
plymouth duster,6,198,95,2833,15.5,22
amc hornet,6,199,97,2774,15.5,18
ford maverick,6,200,85,2587,16,21
datsun pl510,4,97,88,2130,14.5,27
volkswagen 1131 deluxe sedan,4,97,46,1835,20.5,26
peugeot 504,4,110,87,2672,17.5,25
audi 100 ls,4,107,90,2430,14.5,24
saab 99e,4,104,95,2375,17.5,25
bmw 2002,4,121,113,2234,12.5,26
amc gremlin,6,199,90,2648,15,21
ford f250,8,360,215,4615,14,10
chevy c20,8,307,200,4376,15,10
dodge d200,8,318,210,4382,13.5,11
hi 1200d,8,304,193,4732,18.5,9
datsun pl510,4,97,88,2130,14.5,27
chevrolet vega 2300,4,140,90,2264,15.5,28
toyota corona,4,113,95,2228,14,25
ford pinto,4,98,?,2046,19,25
amc gremlin,6,232,100,2634,13,19
plymouth satellite custom,6,225,105,3439,15.5,16
chevrolet chevelle malibu,6,250,100,3329,15.5,17
ford torino 500,6,250,88,3302,15.5,19
amc matador,6,232,100,3288,15.5,18
chevrolet impala,8,350,165,4209,12,14
pontiac catalina brougham,8,400,175,4464,11.5,14
ford galaxie 500,8,351,153,4154,13.5,14
plymouth fury iii,8,318,150,4096,13,14
dodge monaco (sw),8,383,180,4955,11.5,12
ford country squire (sw),8,400,170,4746,12,13
pontiac safari (sw),8,400,175,5140,12,13
amc hornet sportabout (sw),6,258,110,2962,13.5,18
chevrolet vega (sw),4,140,72,2408,19,22
pontiac firebird,6,250,100,3282,15,19
ford mustang,6,250,88,3139,14.5,18
mercury capri 2000,4,122,86,2220,14,23
opel 1900,4,116,90,2123,14,28
peugeot 304,4,79,70,2074,19.5,30
fiat 124b,4,88,76,2065,14.5,30
toyota corolla 1200,4,71,65,1773,19,31
datsun 1200,4,72,69,1613,18,35
volkswagen model 111,4,97,60,1834,19,27
plymouth cricket,4,91,70,1955,20.5,26
toyota corona hardtop,4,113,95,2278,15.5,24
dodge colt hardtop,4,97.5,80,2126,17,25
volkswagen type 3,4,97,54,2254,23.5,23
chevrolet vega,4,140,90,2408,19.5,20
ford pinto runabout,4,122,86,2226,16.5,21
chevrolet impala,8,350,165,4274,12,13
pontiac catalina,8,400,175,4385,12,14
plymouth fury iii,8,318,150,4135,13.5,15
ford galaxie 500,8,351,153,4129,13,14
amc ambassador sst,8,304,150,3672,11.5,17
mercury marquis,8,429,208,4633,11,11
buick lesabre custom,8,350,155,4502,13.5,13
oldsmobile delta 88 royale,8,350,160,4456,13.5,12
chrysler newport royal,8,400,190,4422,12.5,13
mazda rx2 coupe,3,70,97,2330,13.5,19
amc matador (sw),8,304,150,3892,12.5,15
chevrolet chevelle concours (sw),8,307,130,4098,14,13
ford gran torino (sw),8,302,140,4294,16,13
plymouth satellite custom (sw),8,318,150,4077,14,14
volvo 145e (sw),4,121,112,2933,14.5,18
volkswagen 411 (sw),4,121,76,2511,18,22
peugeot 504 (sw),4,120,87,2979,19.5,21
renault 12 (sw),4,96,69,2189,18,26
ford pinto (sw),4,122,86,2395,16,22
datsun 510 (sw),4,97,92,2288,17,28
toyouta corona mark ii (sw),4,120,97,2506,14.5,23
dodge colt (sw),4,98,80,2164,15,28
toyota corolla 1600 (sw),4,97,88,2100,16.5,27
buick century 350,8,350,175,4100,13,13
amc matador,8,304,150,3672,11.5,14
chevrolet malibu,8,350,145,3988,13,13
ford gran torino,8,302,137,4042,14.5,14
dodge coronet custom,8,318,150,3777,12.5,15
mercury marquis brougham,8,429,198,4952,11.5,12
chevrolet caprice classic,8,400,150,4464,12,13
ford ltd,8,351,158,4363,13,13
plymouth fury gran sedan,8,318,150,4237,14.5,14
chrysler new yorker brougham,8,440,215,4735,11,13
buick electra 225 custom,8,455,225,4951,11,12
amc ambassador brougham,8,360,175,3821,11,13
plymouth valiant,6,225,105,3121,16.5,18
chevrolet nova custom,6,250,100,3278,18,16
amc hornet,6,232,100,2945,16,18
ford maverick,6,250,88,3021,16.5,18
plymouth duster,6,198,95,2904,16,23
volkswagen super beetle,4,97,46,1950,21,26
chevrolet impala,8,400,150,4997,14,11
ford country,8,400,167,4906,12.5,12
plymouth custom suburb,8,360,170,4654,13,13
oldsmobile vista cruiser,8,350,180,4499,12.5,12
amc gremlin,6,232,100,2789,15,18
toyota carina,4,97,88,2279,19,20
chevrolet vega,4,140,72,2401,19.5,21
datsun 610,4,108,94,2379,16.5,22
maxda rx3,3,70,90,2124,13.5,18
ford pinto,4,122,85,2310,18.5,19
mercury capri v6,6,155,107,2472,14,21
fiat 124 sport coupe,4,98,90,2265,15.5,26
chevrolet monte carlo s,8,350,145,4082,13,15
pontiac grand prix,8,400,230,4278,9.5,16
fiat 128,4,68,49,1867,19.5,29
opel manta,4,116,75,2158,15.5,24
audi 100ls,4,114,91,2582,14,20
volvo 144ea,4,121,112,2868,15.5,19
dodge dart custom,8,318,150,3399,11,15
saab 99le,4,121,110,2660,14,24
toyota mark ii,6,156,122,2807,13.5,20
oldsmobile omega,8,350,180,3664,11,11
plymouth duster,6,198,95,3102,16.5,20
ford maverick,6,200,?,2875,17,21
amc hornet,6,232,100,2901,16,19
chevrolet nova,6,250,100,3336,17,15
datsun b210,4,79,67,1950,19,31
ford pinto,4,122,80,2451,16.5,26
toyota corolla 1200,4,71,65,1836,21,32
chevrolet vega,4,140,75,2542,17,25
chevrolet chevelle malibu classic,6,250,100,3781,17,16
amc matador,6,258,110,3632,18,16
plymouth satellite sebring,6,225,105,3613,16.5,18
ford gran torino,8,302,140,4141,14,16
buick century luxus (sw),8,350,150,4699,14.5,13
dodge coronet custom (sw),8,318,150,4457,13.5,14
ford gran torino (sw),8,302,140,4638,16,14
amc matador (sw),8,304,150,4257,15.5,14
audi fox,4,98,83,2219,16.5,29
volkswagen dasher,4,79,67,1963,15.5,26
opel manta,4,97,78,2300,14.5,26
toyota corona,4,76,52,1649,16.5,31
datsun 710,4,83,61,2003,19,32
dodge colt,4,90,75,2125,14.5,28
fiat 128,4,90,75,2108,15.5,24
fiat 124 tc,4,116,75,2246,14,26
honda civic,4,120,97,2489,15,24
subaru,4,108,93,2391,15.5,26
fiat x1.9,4,79,67,2000,16,31
plymouth valiant custom,6,225,95,3264,16,19
chevrolet nova,6,250,105,3459,16,18
mercury monarch,6,250,72,3432,21,15
ford maverick,6,250,72,3158,19.5,15
pontiac catalina,8,400,170,4668,11.5,16
chevrolet bel air,8,350,145,4440,14,15
plymouth grand fury,8,318,150,4498,14.5,16
ford ltd,8,351,148,4657,13.5,14
buick century,6,231,110,3907,21,17
chevroelt chevelle malibu,6,250,105,3897,18.5,16
amc matador,6,258,110,3730,19,15
plymouth fury,6,225,95,3785,19,18
buick skyhawk,6,231,110,3039,15,21
chevrolet monza 2+2,8,262,110,3221,13.5,20
ford mustang ii,8,302,129,3169,12,13
toyota corolla,4,97,75,2171,16,29
ford pinto,4,140,83,2639,17,23
amc gremlin,6,232,100,2914,16,20
pontiac astro,4,140,78,2592,18.5,23
toyota corona,4,134,96,2702,13.5,24
volkswagen dasher,4,90,71,2223,16.5,25
datsun 710,4,119,97,2545,17,24
ford pinto,6,171,97,2984,14.5,18
volkswagen rabbit,4,90,70,1937,14,29
amc pacer,6,232,90,3211,17,19
audi 100ls,4,115,95,2694,15,23
peugeot 504,4,120,88,2957,17,23
volvo 244dl,4,121,98,2945,14.5,22
saab 99le,4,121,115,2671,13.5,25
honda civic cvcc,4,91,53,1795,17.5,33
fiat 131,4,107,86,2464,15.5,28
opel 1900,4,116,81,2220,16.9,25
capri ii,4,140,92,2572,14.9,25
dodge colt,4,98,79,2255,17.7,26
renault 12tl,4,101,83,2202,15.3,27
chevrolet chevelle malibu classic,8,305,140,4215,13,17.5
dodge coronet brougham,8,318,150,4190,13,16
amc matador,8,304,120,3962,13.9,15.5
ford gran torino,8,351,152,4215,12.8,14.5
plymouth valiant,6,225,100,3233,15.4,22
chevrolet nova,6,250,105,3353,14.5,22
ford maverick,6,200,81,3012,17.6,24
amc hornet,6,232,90,3085,17.6,22.5
chevrolet chevette,4,85,52,2035,22.2,29
chevrolet woody,4,98,60,2164,22.1,24.5
