ROOMS,LSTAT,PTRATIO,COST
6.575,4.98,15.3,504000
6.421,9.14,17.8,453600
7.185,4.03,17.8,728700
6.998,2.94,18.7,701400
7.147,5.33,18.7,760200
6.43,5.21,18.7,602700
6.012,12.43,15.2,480900
6.172,19.15,15.2,569100
5.631,29.93,15.2,346500
6.004,17.1,15.2,396900
6.377,20.45,15.2,315000
6.009,13.27,15.2,396900
5.889,15.71,15.2,455700
5.949,8.26,21,428400
6.096,10.26,21,382200
5.834,8.47,21,417900
5.935,6.58,21,485100
5.99,14.67,21,367500
5.456,11.69,21,424200
5.727,11.28,21,382200
5.57,21.02,21,285600
5.965,13.83,21,411600
6.142,18.72,21,319200
5.813,19.88,21,304500
5.924,16.3,21,327600
5.599,16.51,21,291900
5.813,14.81,21,348600
6.047,17.28,21,310800
6.495,12.8,21,386400
6.674,11.98,21,441000
5.713,22.6,21,266700
6.072,13.04,21,304500
5.95,27.71,21,277200
5.701,18.35,21,275100
6.096,20.34,21,283500
5.933,9.68,19.2,396900
5.841,11.41,19.2,420000
5.85,8.77,19.2,441000
5.966,10.13,19.2,518700
6.595,4.32,18.3,646800
7.024,1.98,18.3,732900
6.77,4.84,17.9,558600
6.169,5.81,17.9,531300
6.211,7.44,17.9,518700
6.069,9.55,17.9,445200
5.682,10.21,17.9,405300
5.786,14.15,17.9,420000
6.03,18.8,17.9,348600
5.399,30.81,17.9,302400
5.602,16.2,17.9,407400
5.963,13.45,16.8,413700
6.115,9.43,16.8,430500
6.511,5.28,16.8,525000
5.998,8.43,16.8,491400
5.888,14.8,21.1,396900
7.249,4.81,17.9,743400
6.383,5.77,17.3,518700
6.816,3.95,15.1,663600
6.145,6.86,19.7,489300
5.927,9.22,19.7,411600
5.741,13.15,19.7,392700
5.966,14.44,19.7,336000
6.456,6.73,19.7,466200
6.762,9.5,19.7,525000
7.104,8.05,18.6,693000
6.29,4.67,16.1,493500
5.787,10.24,16.1,407400
5.878,8.1,18.9,462000
5.594,13.09,18.9,365400
5.885,8.79,18.9,438900
6.417,6.72,19.2,508200
5.961,9.88,19.2,455700
6.065,5.52,19.2,478800
6.245,7.54,19.2,491400
6.273,6.78,18.7,506100
6.286,8.94,18.7,449400
6.279,11.97,18.7,420000
6.14,10.27,18.7,436800
6.232,12.34,18.7,445200
5.874,9.1,18.7,426300
6.727,5.29,19,588000
6.619,7.22,19,501900
6.302,6.72,19,520800
6.167,7.51,19,480900
6.389,9.62,18.5,501900
6.63,6.53,18.5,558600
6.015,12.86,18.5,472500
6.121,8.44,18.5,466200
7.007,5.5,17.8,495600
7.079,5.7,17.8,602700
6.417,8.81,17.8,474600
6.405,8.2,17.8,462000
6.442,8.16,18.2,480900
6.211,6.21,18.2,525000
6.249,10.59,18.2,432600
6.625,6.65,18,596400
6.163,11.34,18,449400
8.069,4.21,18,812700
7.82,3.57,18,919800
7.416,6.19,18,697200
6.727,9.42,20.9,577500
6.781,7.67,20.9,556500
6.405,10.63,20.9,390600
6.137,13.44,20.9,405300
6.167,12.33,20.9,422100
5.851,16.47,20.9,409500
5.836,18.66,20.9,409500
6.127,14.09,20.9,428400
6.474,12.27,20.9,415800
6.229,15.55,20.9,407400
6.195,13,20.9,455700
6.715,10.16,17.8,478800
5.913,16.21,17.8,394800
6.092,17.09,17.8,392700
6.254,10.45,17.8,388500
5.928,15.76,17.8,384300
6.176,12.04,17.8,445200
6.021,10.3,17.8,403200
5.872,15.37,17.8,428400
5.731,13.61,17.8,405300
5.87,14.37,19.1,462000
6.004,14.27,19.1,426300
5.961,17.93,19.1,430500
5.856,25.41,19.1,363300
5.879,17.58,19.1,394800
5.986,14.81,19.1,449400
5.613,27.26,19.1,329700
5.693,17.19,21.2,340200
6.431,15.39,21.2,378000
5.637,18.34,21.2,300300
6.458,12.6,21.2,403200
6.326,12.26,21.2,411600
6.372,11.12,21.2,483000
5.822,15.03,21.2,386400
5.757,17.31,21.2,327600
6.335,16.96,21.2,380100
5.942,16.9,21.2,365400
6.454,14.59,21.2,359100
5.857,21.32,21.2,279300
6.151,18.46,21.2,373800
6.174,24.16,21.2,294000
5.019,34.41,21.2,302400
5.403,26.82,14.7,281400
5.468,26.42,14.7,327600
4.903,29.29,14.7,247800
6.13,27.8,14.7,289800
5.628,16.65,14.7,327600
4.926,29.53,14.7,306600
5.186,28.32,14.7,373800
5.597,21.45,14.7,323400
6.122,14.1,14.7,451500
5.404,13.28,14.7,411600
5.012,12.12,14.7,321300
5.709,15.79,14.7,407400
6.129,15.12,14.7,357000
6.152,15.02,14.7,327600
5.272,16.14,14.7,275100
6.943,4.59,14.7,867300
6.066,6.43,14.7,510300
6.51,7.39,14.7,489300
6.25,5.5,14.7,567000
5.854,11.64,14.7,476700
6.101,9.81,14.7,525000
5.877,12.14,14.7,499800
6.319,11.1,14.7,499800
6.402,11.32,14.7,468300
5.875,14.43,14.7,365400
5.88,12.03,14.7,401100
5.572,14.69,16.6,485100
6.416,9.04,16.6,495600
5.859,9.64,16.6,474600
6.546,5.33,16.6,617400
6.02,10.11,16.6,487200
6.315,6.29,16.6,516600
6.86,6.92,16.6,627900
6.98,5.04,17.8,781200
7.765,7.56,17.8,835800
6.144,9.45,17.8,760200
7.155,4.82,17.8,795900
6.563,5.68,17.8,682500
5.604,13.98,17.8,554400
6.153,13.15,17.8,621600
6.782,6.68,15.2,672000
6.556,4.56,15.2,625800
7.185,5.39,15.2,732900
6.951,5.1,15.2,777000
6.739,4.69,15.2,640500
7.178,2.87,15.2,764400
6.8,5.03,15.6,653100
6.604,4.38,15.6,611100
7.287,4.08,12.6,699300
7.107,8.61,12.6,636300
7.274,6.62,12.6,726600
6.975,4.56,17,732900
7.135,4.45,17,690900
6.162,7.43,14.7,506100
7.61,3.11,14.7,888300
7.853,3.81,14.7,1018500
5.891,10.87,18.6,474600
6.326,10.97,18.6,512400
5.783,18.06,18.6,472500
6.064,14.66,18.6,512400
5.344,23.09,18.6,420000
5.96,17.27,18.6,455700
5.404,23.98,18.6,405300
5.807,16.03,18.6,470400
6.375,9.38,18.6,590100
5.412,29.55,18.6,497700
6.182,9.47,18.6,525000
5.888,13.51,16.4,489300
6.642,9.69,16.4,602700
5.951,17.92,16.4,451500
6.373,10.5,16.4,483000
6.951,9.71,17.4,560700
6.164,21.46,17.4,455700
6.879,9.93,17.4,577500
6.618,7.6,17.4,632100
8.266,4.14,17.4,940800
8.04,3.13,17.4,789600
7.163,6.36,17.4,663600
7.686,3.92,17.4,980700
6.552,3.76,17.4,661500
5.981,11.65,17.4,510300
7.412,5.25,17.4,665700
8.337,2.47,17.4,875700
8.247,3.95,17.4,1014300
6.726,8.05,17.4,609000
6.086,10.88,17.4,504000
6.631,9.54,17.4,527100
7.358,4.73,17.4,661500
6.481,6.36,16.6,497700
6.606,7.37,16.6,489300
6.897,11.38,16.6,462000
6.095,12.4,16.6,422100
6.358,11.22,16.6,466200
6.393,5.19,16.6,497700
5.593,12.5,19.1,369600
5.605,18.46,19.1,388500
6.108,9.16,19.1,510300
6.226,10.15,19.1,430500
6.433,9.52,19.1,514500
6.718,6.56,19.1,550200
6.487,5.9,19.1,512400
6.438,3.59,19.1,520800
6.957,3.53,19.1,621600
8.259,3.54,19.1,898800
6.108,6.57,16.4,459900
5.876,9.25,16.4,438900
7.454,3.11,15.9,924000
7.333,7.79,13,756000
6.842,6.9,13,632100
7.203,9.59,13,709800
7.52,7.26,13,905100
8.398,5.91,13,1024800
7.327,11.25,13,651000
7.206,8.1,13,766500
5.56,10.45,13,478800
7.014,14.79,13,644700
7.47,3.16,13,913500
5.92,13.65,18.6,434700
5.856,13,18.6,443100
6.24,6.59,18.6,529200
6.538,7.73,18.6,512400
7.691,6.58,18.6,739200
6.758,3.53,17.6,680400
6.854,2.98,17.6,672000
7.267,6.05,17.6,697200
6.826,4.16,17.6,695100
6.482,7.19,17.6,611100
6.812,4.85,14.9,737100
7.82,3.76,14.9,953400
6.968,4.59,14.9,743400
7.645,3.01,14.9,966000
7.088,7.85,15.3,676200
6.453,8.23,15.3,462000
6.23,12.93,18.2,422100
6.209,7.14,16.6,487200
6.315,7.6,16.6,468300
6.565,9.51,16.6,520800
6.861,3.33,19.2,598500
7.148,3.56,19.2,783300
6.63,4.7,19.2,585900
6.127,8.58,16,501900
6.009,10.4,16,455700
6.678,6.27,16,600600
6.549,7.39,16,569100
5.79,15.84,16,426300
6.345,4.97,14.8,472500
7.041,4.74,14.8,609000
6.871,6.07,14.8,520800
6.59,9.5,16.1,462000
6.495,8.67,16.1,554400
