NAME,CYLINDERS,DISPLACEMENT,HORSEPOWER,WEIGHT,ACCELERATION,MODELYEAR,MPG
chevrolet chevelle malibu,8,307,130,3504,12,70,18
buick skylark 320,8,350,165,3693,11.5,70,15
plymouth satellite,8,318,150,3436,11,70,18
amc rebel sst,8,304,150,3433,12,70,16
ford torino,8,302,140,3449,10.5,70,17
ford galaxie 500,8,429,198,4341,10,70,15
chevrolet impala,8,454,220,4354,9,70,14
plymouth fury iii,8,440,215,4312,8.5,70,14
pontiac catalina,8,455,225,4425,10,70,14
amc ambassador dpl,8,390,190,3850,8.5,70,15
dodge challenger se,8,383,170,3563,10,70,15
plymouth 'cuda 340,8,340,160,3609,8,70,14
chevrolet monte carlo,8,400,150,3761,9.5,70,15
buick estate wagon (sw),8,455,225,3086,10,70,14
toyota corona mark ii,4,113,95,2372,15,70,24
plymouth duster,6,198,95,2833,15.5,70,22
amc hornet,6,199,97,2774,15.5,70,18
ford maverick,6,200,85,2587,16,70,21
datsun pl510,4,97,88,2130,14.5,70,27
volkswagen 1131 deluxe sedan,4,97,46,1835,20.5,70,26
peugeot 504,4,110,87,2672,17.5,70,25
audi 100 ls,4,107,90,2430,14.5,70,24
saab 99e,4,104,95,2375,17.5,70,25
bmw 2002,4,121,113,2234,12.5,70,26
amc gremlin,6,199,90,2648,15,70,21
ford f250,8,360,215,4615,14,70,10
chevy c20,8,307,200,4376,15,70,10
dodge d200,8,318,210,4382,13.5,70,11
hi 1200d,8,304,193,4732,18.5,70,9
datsun pl510,4,97,88,2130,14.5,71,27
chevrolet vega 2300,4,140,90,2264,15.5,71,28
toyota corona,4,113,95,2228,14,71,25
ford pinto,4,98,?,2046,19,71,25
amc gremlin,6,232,100,2634,13,71,19
plymouth satellite custom,6,225,105,3439,15.5,71,16
chevrolet chevelle malibu,6,250,100,3329,15.5,71,17
ford torino 500,6,250,88,3302,15.5,71,19
amc matador,6,232,100,3288,15.5,71,18
chevrolet impala,8,350,165,4209,12,71,14
pontiac catalina brougham,8,400,175,4464,11.5,71,14
ford galaxie 500,8,351,153,4154,13.5,71,14
plymouth fury iii,8,318,150,4096,13,71,14
dodge monaco (sw),8,383,180,4955,11.5,71,12
ford country squire (sw),8,400,170,4746,12,71,13
pontiac safari (sw),8,400,175,5140,12,71,13
amc hornet sportabout (sw),6,258,110,2962,13.5,71,18
chevrolet vega (sw),4,140,72,2408,19,71,22
pontiac firebird,6,250,100,3282,15,71,19
ford mustang,6,250,88,3139,14.5,71,18
mercury capri 2000,4,122,86,2220,14,71,23
opel 1900,4,116,90,2123,14,71,28
peugeot 304,4,79,70,2074,19.5,71,30
fiat 124b,4,88,76,2065,14.5,71,30
toyota corolla 1200,4,71,65,1773,19,71,31
datsun 1200,4,72,69,1613,18,71,35
volkswagen model 111,4,97,60,1834,19,71,27
plymouth cricket,4,91,70,1955,20.5,71,26
toyota corona hardtop,4,113,95,2278,15.5,72,24
dodge colt hardtop,4,97.5,80,2126,17,72,25
volkswagen type 3,4,97,54,2254,23.5,72,23
chevrolet vega,4,140,90,2408,19.5,72,20
ford pinto runabout,4,122,86,2226,16.5,72,21
chevrolet impala,8,350,165,4274,12,72,13
pontiac catalina,8,400,175,4385,12,72,14
plymouth fury iii,8,318,150,4135,13.5,72,15
ford galaxie 500,8,351,153,4129,13,72,14
amc ambassador sst,8,304,150,3672,11.5,72,17
mercury marquis,8,429,208,4633,11,72,11
buick lesabre custom,8,350,155,4502,13.5,72,13
oldsmobile delta 88 royale,8,350,160,4456,13.5,72,12
chrysler newport royal,8,400,190,4422,12.5,72,13
mazda rx2 coupe,3,70,97,2330,13.5,72,19
amc matador (sw),8,304,150,3892,12.5,72,15
chevrolet chevelle concours (sw),8,307,130,4098,14,72,13
ford gran torino (sw),8,302,140,4294,16,72,13
plymouth satellite custom (sw),8,318,150,4077,14,72,14
volvo 145e (sw),4,121,112,2933,14.5,72,18
volkswagen 411 (sw),4,121,76,2511,18,72,22
peugeot 504 (sw),4,120,87,2979,19.5,72,21
renault 12 (sw),4,96,69,2189,18,72,26
ford pinto (sw),4,122,86,2395,16,72,22
datsun 510 (sw),4,97,92,2288,17,72,28
toyouta corona mark ii (sw),4,120,97,2506,14.5,72,23
dodge colt (sw),4,98,80,2164,15,72,28
toyota corolla 1600 (sw),4,97,88,2100,16.5,72,27
buick century 350,8,350,175,4100,13,73,13
amc matador,8,304,150,3672,11.5,73,14
chevrolet malibu,8,350,145,3988,13,73,13
ford gran torino,8,302,137,4042,14.5,73,14
dodge coronet custom,8,318,150,3777,12.5,73,15
mercury marquis brougham,8,429,198,4952,11.5,73,12
chevrolet caprice classic,8,400,150,4464,12,73,13
ford ltd,8,351,158,4363,13,73,13
plymouth fury gran sedan,8,318,150,4237,14.5,73,14
chrysler new yorker brougham,8,440,215,4735,11,73,13
buick electra 225 custom,8,455,225,4951,11,73,12
amc ambassador brougham,8,360,175,3821,11,73,13
plymouth valiant,6,225,105,3121,16.5,73,18
chevrolet nova custom,6,250,100,3278,18,73,16
amc hornet,6,232,100,2945,16,73,18
ford maverick,6,250,88,3021,16.5,73,18
plymouth duster,6,198,95,2904,16,73,23
volkswagen super beetle,4,97,46,1950,21,73,26
chevrolet impala,8,400,150,4997,14,73,11
ford country,8,400,167,4906,12.5,73,12
plymouth custom suburb,8,360,170,4654,13,73,13
oldsmobile vista cruiser,8,350,180,4499,12.5,73,12
amc gremlin,6,232,100,2789,15,73,18
toyota carina,4,97,88,2279,19,73,20
chevrolet vega,4,140,72,2401,19.5,73,21
datsun 610,4,108,94,2379,16.5,73,22
maxda rx3,3,70,90,2124,13.5,73,18
ford pinto,4,122,85,2310,18.5,73,19
mercury capri v6,6,155,107,2472,14,73,21
fiat 124 sport coupe,4,98,90,2265,15.5,73,26
chevrolet monte carlo s,8,350,145,4082,13,73,15
pontiac grand prix,8,400,230,4278,9.5,73,16
fiat 128,4,68,49,1867,19.5,73,29
opel manta,4,116,75,2158,15.5,73,24
audi 100ls,4,114,91,2582,14,73,20
volvo 144ea,4,121,112,2868,15.5,73,19
dodge dart custom,8,318,150,3399,11,73,15
saab 99le,4,121,110,2660,14,73,24
toyota mark ii,6,156,122,2807,13.5,73,20
oldsmobile omega,8,350,180,3664,11,73,11
plymouth duster,6,198,95,3102,16.5,74,20
ford maverick,6,200,?,2875,17,74,21
amc hornet,6,232,100,2901,16,74,19
chevrolet nova,6,250,100,3336,17,74,15
datsun b210,4,79,67,1950,19,74,31
ford pinto,4,122,80,2451,16.5,74,26
toyota corolla 1200,4,71,65,1836,21,74,32
chevrolet vega,4,140,75,2542,17,74,25
chevrolet chevelle malibu classic,6,250,100,3781,17,74,16
amc matador,6,258,110,3632,18,74,16
plymouth satellite sebring,6,225,105,3613,16.5,74,18
ford gran torino,8,302,140,4141,14,74,16
buick century luxus (sw),8,350,150,4699,14.5,74,13
dodge coronet custom (sw),8,318,150,4457,13.5,74,14
ford gran torino (sw),8,302,140,4638,16,74,14
amc matador (sw),8,304,150,4257,15.5,74,14
audi fox,4,98,83,2219,16.5,74,29
volkswagen dasher,4,79,67,1963,15.5,74,26
opel manta,4,97,78,2300,14.5,74,26
toyota corona,4,76,52,1649,16.5,74,31
datsun 710,4,83,61,2003,19,74,32
dodge colt,4,90,75,2125,14.5,74,28
fiat 128,4,90,75,2108,15.5,74,24
fiat 124 tc,4,116,75,2246,14,74,26
honda civic,4,120,97,2489,15,74,24
subaru,4,108,93,2391,15.5,74,26
fiat x1.9,4,79,67,2000,16,74,31
plymouth valiant custom,6,225,95,3264,16,75,19
chevrolet nova,6,250,105,3459,16,75,18
mercury monarch,6,250,72,3432,21,75,15
ford maverick,6,250,72,3158,19.5,75,15
pontiac catalina,8,400,170,4668,11.5,75,16
chevrolet bel air,8,350,145,4440,14,75,15
plymouth grand fury,8,318,150,4498,14.5,75,16
ford ltd,8,351,148,4657,13.5,75,14
buick century,6,231,110,3907,21,75,17
chevroelt chevelle malibu,6,250,105,3897,18.5,75,16
amc matador,6,258,110,3730,19,75,15
plymouth fury,6,225,95,3785,19,75,18
buick skyhawk,6,231,110,3039,15,75,21
chevrolet monza 2+2,8,262,110,3221,13.5,75,20
ford mustang ii,8,302,129,3169,12,75,13
toyota corolla,4,97,75,2171,16,75,29
ford pinto,4,140,83,2639,17,75,23
amc gremlin,6,232,100,2914,16,75,20
pontiac astro,4,140,78,2592,18.5,75,23
toyota corona,4,134,96,2702,13.5,75,24
volkswagen dasher,4,90,71,2223,16.5,75,25
datsun 710,4,119,97,2545,17,75,24
ford pinto,6,171,97,2984,14.5,75,18
volkswagen rabbit,4,90,70,1937,14,75,29
amc pacer,6,232,90,3211,17,75,19
audi 100ls,4,115,95,2694,15,75,23
peugeot 504,4,120,88,2957,17,75,23
volvo 244dl,4,121,98,2945,14.5,75,22
saab 99le,4,121,115,2671,13.5,75,25
honda civic cvcc,4,91,53,1795,17.5,75,33
fiat 131,4,107,86,2464,15.5,76,28
opel 1900,4,116,81,2220,16.9,76,25
capri ii,4,140,92,2572,14.9,76,25
dodge colt,4,98,79,2255,17.7,76,26
renault 12tl,4,101,83,2202,15.3,76,27
chevrolet chevelle malibu classic,8,305,140,4215,13,76,17.5
dodge coronet brougham,8,318,150,4190,13,76,16
amc matador,8,304,120,3962,13.9,76,15.5
ford gran torino,8,351,152,4215,12.8,76,14.5
plymouth valiant,6,225,100,3233,15.4,76,22
chevrolet nova,6,250,105,3353,14.5,76,22
ford maverick,6,200,81,3012,17.6,76,24
amc hornet,6,232,90,3085,17.6,76,22.5
chevrolet chevette,4,85,52,2035,22.2,76,29
chevrolet woody,4,98,60,2164,22.1,76,24.5
vw rabbit,4,90,70,1937,14.2,76,29
honda civic,4,91,53,1795,17.4,76,33
dodge aspen se,6,225,100,3651,17.7,76,20
ford granada ghia,6,250,78,3574,21,76,18
pontiac ventura sj,6,250,110,3645,16.2,76,18.5
amc pacer d/l,6,258,95,3193,17.8,76,17.5
volkswagen rabbit,4,97,71,1825,12.2,76,29.5
datsun b-210,4,85,70,1990,17,76,32
toyota corolla,4,97,75,2155,16.4,76,28
ford pinto,4,140,72,2565,13.6,76,26.5
volvo 245,4,130,102,3150,15.7,76,20
plymouth volare premier v8,8,318,150,3940,13.2,76,13
peugeot 504,4,120,88,3270,21.9,76,19
toyota mark ii,6,156,108,2930,15.5,76,19
mercedes-benz 280s,6,168,120,3820,16.7,76,16.5
cadillac seville,8,350,180,4380,12.1,76,16.5
chevy c10,8,350,145,4055,12,76,13
ford f108,8,302,130,3870,15,76,13
dodge d100,8,318,150,3755,14,76,13
honda accord cvcc,4,98,68,2045,18.5,77,31.5
buick opel isuzu deluxe,4,111,80,2155,14.8,77,30
renault 5 gtl,4,79,58,1825,18.6,77,36
plymouth arrow gs,4,122,96,2300,15.5,77,25.5
datsun f-10 hatchback,4,85,70,1945,16.8,77,33.5
chevrolet caprice classic,8,305,145,3880,12.5,77,17.5
oldsmobile cutlass supreme,8,260,110,4060,19,77,17
dodge monaco brougham,8,318,145,4140,13.7,77,15.5
mercury cougar brougham,8,302,130,4295,14.9,77,15
chevrolet concours,6,250,110,3520,16.4,77,17.5
buick skylark,6,231,105,3425,16.9,77,20.5
plymouth volare custom,6,225,100,3630,17.7,77,19
ford granada,6,250,98,3525,19,77,18.5
pontiac grand prix lj,8,400,180,4220,11.1,77,16
chevrolet monte carlo landau,8,350,170,4165,11.4,77,15.5
chrysler cordoba,8,400,190,4325,12.2,77,15.5
ford thunderbird,8,351,149,4335,14.5,77,16
volkswagen rabbit custom,4,97,78,1940,14.5,77,29
pontiac sunbird coupe,4,151,88,2740,16,77,24.5
toyota corolla liftback,4,97,75,2265,18.2,77,26
ford mustang ii 2+2,4,140,89,2755,15.8,77,25.5
chevrolet chevette,4,98,63,2051,17,77,30.5
dodge colt m/m,4,98,83,2075,15.9,77,33.5
subaru dl,4,97,67,1985,16.4,77,30
volkswagen dasher,4,97,78,2190,14.1,77,30.5
datsun 810,6,146,97,2815,14.5,77,22
bmw 320i,4,121,110,2600,12.8,77,21.5
mazda rx-4,3,80,110,2720,13.5,77,21.5
volkswagen rabbit custom diesel,4,90,48,1985,21.5,78,43.1
ford fiesta,4,98,66,1800,14.4,78,36.1
mazda glc deluxe,4,78,52,1985,19.4,78,32.8
